w_geocode,h_geocode,count
39041012400,39049006500,42
39049006950,39049003600,1
39049009250,39049009520,2
39049007931,39049006945,8
39049002520,39049007520,1
39041011423,39159050601,12
39049007922,39049009590,17
39049000120,39049004200,1
39049000210,39049006391,1
39049000420,39049007114,3
39049008210,39049009590,24
39049006392,39049006950,1
39049001121,39049008340,46
39049006384,39049005900,3
39049008710,39049000420,1
39049002600,39049009381,9
39049007511,39049006323,4
39049007740,39049009311,1
39049005410,39049008312,3
39049006000,39049006600,1
39129021401,39049008120,2
39049001500,39049008312,5
39097040500,39129021401,1
39049007534,39049005500,1
39049007710,39049001110,1
39049000220,39049003700,4
39049006372,39049006394,1
39049006395,39049000820,1
39041011520,39049009325,3
39049007812,39049006353,79
39049002600,39049008821,11
39049004700,39049006931,2
39049006323,39049006392,4
39049005500,39049006000,3
39049007812,39049007740,6
39049001700,39049009000,2
39049006944,39049000730,2
39049004200,39049006810,8
39049009250,39049009350,9
39049007114,39049006600,16
39049004900,39049008822,3
39049007812,39049004610,32
39049007048,39049008350,12
39049000410,39049003200,1
39049006822,39049008730,1
39049005300,39049010601,48
39049007041,39049001902,4
39049004620,39049008312,5
39049002780,39041011561,1
39049006351,39049007120,4
39049000320,39049000910,4
39049006924,39049001700,1
39049010300,39097040500,3
39049009000,39049001901,1
39049000500,39049009334,3
39049007710,39049006321,2
39049006353,39049008241,2
39049007047,39049007043,32
39049006384,39049009520,4
39049004500,39049004200,2
39049008120,39049006321,4
39049007941,39049008241,23
39049006372,39049007113,14
39049009230,39049006310,2
39049009900,39049007424,35
39049008730,39049007710,12
39049007205,39049008132,8
39049003600,39049007424,8
39049000920,39049009311,1
39049007394,39049008380,1
39049008132,39049007931,4
39049007922,39049006430,21
39049009420,39049009321,1
39049007722,39049006410,1
39049007048,39049006600,2
39049009325,39049001500,6
39049003700,39049006392,3
39049007115,39049001820,1
39049009361,39049008312,9
39049008312,39049004500,4
39049006430,39049002800,3
39049006351,39049006352,7
39049002300,39049008132,11
39049002520,39049007533,2
39049007922,39049002710,9
39049004700,39049000110,2
39049001700,39049006395,2
39049003800,39049009361,6
39049001200,39049000710,1
39049005820,39049007830,1
39049010601,39049000720,2
39049005820,39041011423,1
39049007043,39049006822,5
39049006921,39049007424,17
39049007922,39049007520,6
39049000410,39049000820,2
39049006950,39049007041,2
39049007043,39049003600,3
39049002200,39049005900,3
39049002710,39049006500,1
39049008821,39049005700,6
39049001700,39049009230,7
39049006600,39049007922,7
39049006330,39049007424,1
39049002520,39049007394,3
39045032701,39041012400,2
39049007199,39049009420,2
39045033000,39049008340,3
39049002520,39049006386,2
39049002600,39049009311,9
39049008242,39045033000,1
39049007710,39049009337,6
39049006921,39049007047,2
39049006384,39049007812,5
39049005100,39049007041,2
39049003700,39049005700,2
39049006923,39049005900,2
39049005700,39049006310,15
39049008242,39049006924,2
39049001500,39049007115,1
39049005620,39049004810,1
39049002300,39049009340,5
39049009326,39049006821,1
39049009323,39049001200,1
39049005200,39049002770,5
39049002760,39049000330,2
39049007199,39049009372,9
39049010601,39049007113,2
39049007931,39049009220,1
39049006945,39049008242,5
39049004620,39049008132,9
39049006386,39049010000,32
39049008241,39049001901,3
39049008330,39049008163,1
39049007550,39049006950,10
39049007534,39041012400,2
39049006923,39049008500,2
39129021401,39049008360,1
39049006430,39049007922,14
39041011561,39049007811,5
39049000810,39049010602,1
39049006330,39041012400,4
39049006395,39049001500,1
39049006372,39049008822,3
39049000720,39049008813,2
39049007115,39049006945,37
39049009390,39049003600,1
39049006384,39049006821,3
39049006352,39049004700,1
39049007811,39049006945,19
39049007811,39049005300,4
39049007199,39049007424,9
39041011561,39049007044,29
39041011540,39049000110,8
39049010300,39049009326,6
39049002800,39049006321,1
39049005100,39049001902,2
39049001902,39049008311,6
39049008821,39049006351,3
39049006933,39049007941,1
39049000720,39049006395,1
39049008500,39049007830,42
39049001122,39041011520,17
39049007112,39049006722,1
39049007114,39049008132,20
